Date,Open,High,Low,Close
12/05/2022,"79.99","82.72","76.77","76.93"
12/02/2022,"81.47","82.22","79.65","79.98"
12/01/2022,"80.40","83.34","79.93","81.22"
11/30/2022,"79.00","81.38","78.40","80.55"
11/29/2022,"76.54","79.65","76.29","78.20"
11/28/2022,"75.93","77.84","73.60","77.24"
11/25/2022,"78.02","79.90","76.22","76.28"
11/23/2022,"81.08","81.95","76.83","77.94"
11/22/2022,"80.22","82.36","79.85","80.95"
11/21/2022,"80.30","80.30","75.08","79.73"
11/18/2022,"82.09","82.64","77.23","80.08"
11/17/2022,"85.22","85.45","81.40","81.64"
11/16/2022,"86.89","87.51","84.20","85.59"
11/15/2022,"85.25","88.68","84.06","86.92"
11/14/2022,"89.02","89.84","85.15","85.87"
11/11/2022,"86.27","90.10","86.18","88.96"
11/10/2022,"85.85","87.35","84.70","86.47"
11/09/2022,"88.57","89.24","85.50","85.83"
11/08/2022,"91.87","92.17","88.52","88.91"
11/07/2022,"91.00","93.74","90.40","91.79"
11/04/2022,"87.90","92.87","87.82","92.61"
11/03/2022,"89.35","89.67","87.60","88.17"
11/02/2022,"88.62","90.36","87.72","90.00"
11/01/2022,"86.43","89.45","85.92","88.37"
10/31/2022,"88.39","88.65","85.30","86.53"
10/28/2022,"88.67","88.76","87.08","87.90"
10/27/2022,"88.26","89.79","87.33","89.08"
10/26/2022,"85.07","88.41","84.14","87.91"
10/25/2022,"84.88","86.03","83.06","85.32"
10/24/2022,"85.24","85.92","82.63","84.58"
10/21/2022,"85.07","85.90","83.15","85.05"
10/20/2022,"85.94","88.17","85.22","85.98"
10/19/2022,"83.69","86.20","82.59","85.55"
10/18/2022,"85.70","86.51","82.09","82.82"
10/17/2022,"85.59","87.12","84.61","85.46"
10/14/2022,"89.27","89.73","85.20","85.61"
10/13/2022,"87.08","89.66","85.56","89.11"
10/12/2022,"88.67","90.07","86.28","87.27"
10/11/2022,"91.14","91.35","87.91","89.35"
10/10/2022,"93.48","93.64","90.54","91.13"
10/07/2022,"88.93","93.31","88.00","92.64"
10/06/2022,"88.08","89.07","87.04","88.45"
10/05/2022,"86.37","88.42","85.42","87.76"
10/04/2022,"83.22","86.98","83.22","86.52"
10/03/2022,"81.02","84.56","80.87","83.63"
09/30/2022,"81.74","82.56","79.14","79.49"
09/29/2022,"81.90","82.94","80.34","81.23"
09/28/2022,"78.08","82.34","76.55","82.15"
09/27/2022,"76.47","79.51","76.42","78.50"
09/26/2022,"79.23","80.31","76.25","76.71"
09/23/2022,"83.54","83.92","78.04","78.74"
09/22/2022,"83.07","86.00","82.40","83.49"
09/21/2022,"84.25","86.68","82.49","82.94"
09/20/2022,"85.61","86.45","83.52","84.45"
09/19/2022,"85.21","86.22","82.10","85.73"
09/16/2022,"85.16","86.59","84.27","85.11"
09/15/2022,"88.91","89.15","84.53","85.10"
09/14/2022,"87.94","90.19","86.18","88.48"
09/13/2022,"88.09","89.31","85.06","87.31"
09/12/2022,"86.25","89.10","85.16","87.78"
09/09/2022,"82.80","87.20","82.68","86.79"
09/08/2022,"81.91","84.25","81.20","83.54"
09/07/2022,"86.93","87.76","81.50","81.94"
09/06/2022,"88.95","89.48","86.18","86.88"
09/02/2022,"86.56","89.66","86.35","86.87"
09/01/2022,"88.83","89.63","85.98","86.61"
08/31/2022,"92.31","92.73","88.27","89.55"
08/30/2022,"96.90","97.66","90.54","91.64"
08/29/2022,"92.96","97.37","92.29","97.01"
08/26/2022,"93.06","94.02","91.08","93.06"
08/25/2022,"95.35","95.76","92.29","92.52"
08/24/2022,"93.78","95.40","92.79","94.89"
08/23/2022,"90.55","94.22","90.42","93.74"
08/22/2022,"89.65","91.26","86.60","90.23"
08/19/2022,"90.39","92.09","88.38","90.77"
08/18/2022,"87.39","91.46","87.32","90.50"
08/17/2022,"87.10","89.16","85.88","88.11"
08/16/2022,"87.93","90.65","85.73","86.53"
08/15/2022,"91.94","92.10","86.82","89.41"
08/12/2022,"94.09","94.81","91.16","92.09"
08/11/2022,"91.55","95.05","91.24","94.34"
08/10/2022,"90.51","92.43","87.66","91.93"
08/09/2022,"90.69","92.65","89.05","90.50"
08/08/2022,"88.46","90.89","87.22","90.76"
08/05/2022,"88.06","90.76","87.01","89.01"
08/04/2022,"90.95","91.90","87.55","88.54"
08/03/2022,"93.83","96.57","90.38","90.66"
08/02/2022,"93.75","96.47","92.59","94.42"
08/01/2022,"98.46","98.65","92.42","93.89"
07/29/2022,"97.30","101.88","96.41","98.62"
07/28/2022,"98.17","99.84","96.04","96.42"
07/27/2022,"95.60","98.59","94.30","97.26"
07/26/2022,"96.33","99.00","94.76","94.98"
07/25/2022,"95.10","96.94","93.01","96.70"
07/22/2022,"96.51","97.95","94.23","94.70"
07/21/2022,"99.91","99.99","94.59","96.35"
07/20/2022,"103.60","104.39","101.51","102.26"
07/19/2022,"102.00","104.46","99.84","104.22"
07/18/2022,"97.27","102.80","95.85","102.60"
07/15/2022,"96.39","99.03","94.57","97.59"
07/14/2022,"96.57","97.00","90.56","95.78"
07/13/2022,"95.89","97.96","93.58","96.30"
07/12/2022,"103.46","103.49","95.35","95.84"
07/11/2022,"104.79","105.05","100.89","104.09"
07/08/2022,"102.22","105.24","101.51","104.79"
07/07/2022,"98.22","104.48","96.57","102.73"
07/06/2022,"100.36","102.14","95.10","98.53"
07/05/2022,"110.75","111.45","97.43","99.50"
07/01/2022,"106.01","109.34","104.56","108.43"
06/30/2022,"109.70","110.45","105.10","105.76"
06/29/2022,"111.86","114.05","109.22","109.78"
06/28/2022,"110.18","112.22","109.62","111.76"
06/27/2022,"107.22","110.54","105.60","109.57"
06/24/2022,"103.99","108.58","103.64","107.62"
06/23/2022,"104.42","107.05","102.32","104.27"
06/22/2022,"109.54","109.76","101.53","106.19"
06/21/2022,"110.54","112.47","110.13","110.65"
06/17/2022,"117.08","118.97","108.25","109.56"
06/16/2022,"115.98","118.08","112.31","117.59"
06/15/2022,"119.07","119.61","114.60","115.31"
06/14/2022,"121.09","123.68","116.62","118.93"
06/13/2022,"120.19","122.25","117.47","120.93"
06/10/2022,"121.46","122.75","118.33","120.67"
06/09/2022,"122.43","122.72","120.79","121.51"
06/08/2022,"119.79","123.18","119.30","122.11"
06/07/2022,"119.10","120.36","117.14","119.41"
06/06/2022,"120.82","121.00","117.63","118.50"
06/03/2022,"117.55","120.46","115.23","118.87"
06/02/2022,"114.80","117.77","111.20","116.87"
06/01/2022,"115.40","117.87","114.58","115.26"
05/31/2022,"117.56","119.98","114.15","114.67"
05/27/2022,"114.20","115.30","112.85","115.07"
05/26/2022,"110.69","114.83","110.27","114.09"
05/25/2022,"110.39","111.68","109.23","110.33"
05/24/2022,"110.41","111.43","108.61","109.77"
05/23/2022,"110.56","111.96","109.15","110.29"
05/20/2022,"111.45","114.04","110.85","113.23"
05/19/2022,"109.09","112.62","105.13","112.21"
05/18/2022,"113.66","115.42","108.46","109.59"
05/17/2022,"113.87","115.56","111.75","112.40"
05/16/2022,"110.98","114.90","108.11","114.20"
05/13/2022,"106.65","110.64","106.29","110.49"
05/12/2022,"105.63","107.37","102.66","106.13"
05/11/2022,"99.00","106.44","98.20","105.71"
05/10/2022,"102.65","104.16","98.86","99.76"
05/09/2022,"110.43","110.49","102.13","103.09"
05/06/2022,"108.70","111.18","107.24","109.77"
05/05/2022,"107.58","111.37","106.45","108.26"
05/04/2022,"103.50","108.61","102.95","107.81"
05/03/2022,"105.08","105.80","102.10","102.41"
05/02/2022,"104.00","105.94","100.28","105.17"
04/29/2022,"105.17","107.99","103.78","104.69"
04/28/2022,"102.11","105.68","100.13","105.36"
04/27/2022,"101.76","102.99","99.80","102.02"
04/26/2022,"98.64","102.78","97.06","101.70"
04/25/2022,"101.38","101.55","95.28","98.54"
04/22/2022,"104.07","104.22","101.06","102.07"
04/21/2022,"102.50","105.42","102.01","103.79"
04/20/2022,"103.05","104.16","100.70","102.75"
04/19/2022,"107.75","108.92","102.07","102.56"
04/18/2022,"107.03","109.81","106.00","108.21"
04/14/2022,"104.20","107.64","102.12","106.95"
04/13/2022,"100.91","104.47","99.87","104.25"
04/12/2022,"95.17","101.35","94.84","100.60"
04/11/2022,"98.40","98.52","92.93","94.29"
04/08/2022,"97.17","98.76","95.29","98.26"
04/07/2022,"97.16","98.82","93.81","96.03"
04/06/2022,"101.24","104.02","95.73","96.23"
04/05/2022,"103.66","105.59","99.88","101.96"
04/04/2022,"98.95","103.94","98.05","103.28"
04/01/2022,"101.23","101.75","97.78","99.27"
03/31/2022,"107.45","107.80","99.66","100.28"
03/30/2022,"105.24","108.75","104.55","107.82"
03/29/2022,"103.47","107.84","98.44","104.24"
03/28/2022,"112.92","112.93","102.83","105.96"
03/25/2022,"111.75","114.12","108.68","113.90"
03/24/2022,"114.47","116.64","110.61","112.34"
03/23/2022,"108.85","115.40","108.38","114.93"
03/22/2022,"112.90","115.01","109.30","111.76"
03/21/2022,"105.13","112.69","104.08","112.12"
03/18/2022,"103.62","106.28","102.30","104.70"
03/17/2022,"95.34","104.24","94.85","102.98"
03/16/2022,"95.23","99.22","94.07","95.04"
03/15/2022,"102.28","102.58","93.53","96.44"
03/14/2022,"109.42","109.72","99.76","103.01"
03/11/2022,"105.99","110.29","104.48","109.33"
03/10/2022,"110.41","114.88","105.53","106.02"
03/09/2022,"124.66","126.84","103.63","108.70"
03/08/2022,"120.67","129.44","117.07","123.70"
03/07/2022,"121.33","130.50","115.54","119.40"
03/04/2022,"107.96","116.02","107.25","115.68"
03/03/2022,"111.33","116.57","106.43","107.67"
03/02/2022,"107.12","112.51","105.18","110.60"
03/01/2022,"96.09","106.78","95.32","103.41"
02/28/2022,"94.99","99.10","94.43","95.72"
02/25/2022,"93.32","95.64","90.06","91.59"
02/24/2022,"92.52","100.54","91.45","92.81"
02/23/2022,"91.74","93.90","90.64","92.10"
02/22/2022,"94.54","96.00","92.00","92.35"
02/18/2022,"91.63","92.66","89.03","91.07"
02/17/2022,"90.90","93.36","90.62","91.76"
02/16/2022,"92.21","95.01","90.00","93.66"
02/15/2022,"94.83","95.17","90.66","92.07"
02/14/2022,"93.91","95.82","92.09","95.46"
02/11/2022,"90.00","94.66","89.19","93.10"
02/10/2022,"90.01","91.74","89.03","89.88"
02/09/2022,"89.86","90.58","88.41","89.66"
02/08/2022,"91.64","91.68","88.51","89.36"
02/07/2022,"91.82","92.73","90.73","91.32"
02/04/2022,"90.19","93.17","90.07","92.31"
02/03/2022,"87.98","90.45","86.75","90.27"
02/02/2022,"88.35","89.72","87.10","88.26"
02/01/2022,"88.15","88.87","86.55","88.20"
01/31/2022,"87.45","88.39","86.34","88.15"
01/28/2022,"87.50","88.84","86.44","86.82"
01/27/2022,"87.15","88.54","86.20","86.61"
01/26/2022,"85.26","87.95","85.01","87.35"
01/25/2022,"84.15","85.71","82.99","85.60"
01/24/2022,"84.91","86.09","81.90","83.31"
01/21/2022,"84.57","85.56","82.78","85.14"
01/20/2022,"86.23","87.82","86.00","86.90"
01/19/2022,"86.61","87.92","85.77","86.96"
01/18/2022,"84.28","86.63","84.11","85.43"
01/14/2022,"81.73","84.45","81.58","83.82"
01/13/2022,"82.82","82.94","81.39","82.12"
01/12/2022,"81.38","83.10","81.17","82.64"
01/11/2022,"78.42","81.59","78.36","81.22"
01/10/2022,"78.88","79.45","77.83","78.23"
01/07/2022,"79.62","80.47","78.52","78.90"
01/06/2022,"77.24","80.24","76.73","79.46"
01/05/2022,"77.18","78.58","76.51","77.85"
01/04/2022,"76.02","77.64","75.70","76.99"
01/03/2022,"75.69","76.46","74.27","76.08"
12/31/2021,"76.66","77.08","74.95","75.21"
12/30/2021,"76.58","77.44","75.78","76.99"
12/29/2021,"76.04","77.37","75.36","76.56"
12/28/2021,"75.97","76.92","75.53","75.98"
12/27/2021,"73.38","76.09","72.57","75.57"
12/23/2021,"73.03","73.95","72.27","73.79"
12/22/2021,"71.27","73.16","70.80","72.76"
12/21/2021,"69.21","71.55","68.56","71.12"
12/20/2021,"70.07","70.07","66.04","68.23"
12/17/2021,"71.92","72.26","69.89","70.86"
12/16/2021,"71.48","72.99","71.03","72.38"
12/15/2021,"70.35","71.66","69.39","70.87"
12/14/2021,"71.12","72.03","69.51","70.73"
12/13/2021,"72.04","73.00","70.71","71.29"
12/10/2021,"70.68","72.33","70.32","71.67"
12/09/2021,"72.52","73.34","70.39","70.94"
12/08/2021,"71.86","73.00","70.91","72.36"
12/07/2021,"69.72","73.03","69.52","72.05"
12/06/2021,"67.02","70.15","66.72","69.49"
