,Date,Tweet Count
0,2022-11-23,5665
1,2022-11-24,4852
2,2022-11-25,4282
3,2022-11-26,3856
4,2022-11-27,3898
5,2022-11-28,5089
6,2022-11-29,6413
7,2022-11-30,7249
8,2022-12-01,5941
9,2022-12-02,5273
10,2022-12-03,5135
11,2022-12-04,4690
12,2022-12-05,6094
13,2022-12-06,6591
14,2022-12-07,5434
15,2022-12-08,5594
16,2022-12-09,6096
17,2022-12-10,5238
18,2022-12-11,3814
19,2022-12-12,6615
20,2022-12-13,5567
21,2022-12-14,6149
22,2022-12-15,5317
23,2022-12-16,4974
24,2022-12-17,3743
